,SizeRank,RegionName,State,City,Metro,CountyName,AveragePrice,Down_payment_20%
4960,4963,28613,NC,Conover,"Hickory-Lenoir-Morganton, NC",Catawba County,240887.73524748927,48177.54704949786
4995,4998,27527,NC,Clayton,"Raleigh-Cary, NC",Johnston County,393962.9522637792,78792.59045275585
5053,5055,27288,NC,Eden,"Greensboro-High Point, NC",Rockingham County,78167.05028247772,15633.410056495544
5100,5103,28352,NC,Laurinburg,"Laurinburg, NC",Scotland County,124599.08260299132,24919.816520598266
5175,5179,28209,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,612233.651667904,122446.73033358081
5200,5204,28804,NC,Asheville,"Asheville, NC",Buncombe County,573732.6730884137,114746.53461768274
5205,5209,28570,NC,Newport,"Morehead City, NC",Carteret County,296471.815019018,59294.363003803606
5343,5347,28443,NC,Hampstead,"Wilmington, NC",Pender County,445959.3336917495,89191.8667383499
5352,5356,27701,NC,Durham,"Durham-Chapel Hill, NC",Durham County,388602.1761212105,77720.4352242421
5376,5380,27101,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,171527.05177426222,34305.41035485244
5382,5386,27591,NC,Wendell,"Raleigh-Cary, NC",Wake County,346838.7780568737,69367.75561137474
5598,5602,28532,NC,Havelock,"New Bern, NC",Craven County,195274.60597121555,39054.921194243114
5600,5605,27263,NC,Archdale,"Greensboro-High Point, NC",Randolph County,186018.4115074988,37203.68230149976
5606,5611,28787,NC,Weaverville,"Asheville, NC",Buncombe County,441258.3605206476,88251.67210412952
5626,5631,28739,NC,Valley Hill,"Asheville, NC",Henderson County,429781.1319138263,85956.22638276526
5639,5644,28504,NC,La Grange,"Kinston, NC",Lenoir County,162746.70290406328,32549.340580812655
5652,5657,28659,NC,North Wilkesboro,"North Wilkesboro, NC",Wilkes County,183138.5444639613,36627.70889279226
5653,5658,27203,NC,Asheboro,"Greensboro-High Point, NC",Randolph County,148768.3653855749,29753.67307711498
5663,5668,28139,NC,Rutherfordton,"Forest City, NC",Rutherford County,217795.7736818771,43559.15473637542
5695,5700,28120,NC,Mount Holly,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,335955.25374133623,67191.05074826725
5736,5741,27712,NC,Durham,"Durham-Chapel Hill, NC",Durham County,385729.4864985559,77145.89729971119
5750,5755,28786,NC,Waynesville,"Asheville, NC",Haywood County,297371.27041458647,59474.254082917294
5796,5801,28043,NC,Forest City,"Forest City, NC",Rutherford County,164897.67869299822,32979.53573859965
5809,5814,27501,NC,Angier,"Fayetteville, NC",Harnett County,302793.1378192887,60558.62756385774
5886,5891,28630,NC,Granite Falls,"Hickory-Lenoir-Morganton, NC",Caldwell County,210489.9604567868,42097.99209135736
5898,5903,27886,NC,Tarboro,"Rocky Mount, NC",Edgecombe County,131497.39150822363,26299.47830164473
5899,5904,27617,NC,Raleigh,"Raleigh-Cary, NC",Wake County,444544.3950119103,88908.87900238206
5911,5916,28037,NC,Denver,"Charlotte-Concord-Gastonia, NC-SC",Lincoln County,523780.20401983033,104756.04080396607
5982,5987,27403,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,205973.30184090696,41194.660368181394
6000,6006,27801,NC,Rocky Mount,"Rocky Mount, NC",Edgecombe County,118878.49243553336,23775.698487106674
6009,6015,27546,NC,Lillington,"Fayetteville, NC",Harnett County,245772.7770948801,49154.55541897602
6028,6034,27409,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,246921.0197313308,49384.20394626616
6079,6085,27401,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,138481.91617202523,27696.383234405046
6101,6107,27523,NC,Apex,"Raleigh-Cary, NC",Wake County,665731.4029013758,133146.28058027517
6108,6114,28805,NC,Asheville,"Asheville, NC",Buncombe County,441907.5889798438,88381.51779596876
6119,6125,28461,NC,,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,491297.6776248561,98259.53552497123
6156,6162,28312,NC,Fayetteville,"Fayetteville, NC",Cumberland County,206898.4994973644,41379.69989947288
6180,6185,28704,NC,Arden,"Asheville, NC",Buncombe County,418831.7284102557,83766.34568205115
6208,6215,27803,NC,Rocky Mount,"Rocky Mount, NC",Nash County,185943.6014251877,37188.72028503754
6233,6240,27518,NC,Cary,"Raleigh-Cary, NC",Wake County,650358.9755480409,130071.7951096082
6282,6289,27576,NC,,"Raleigh-Cary, NC",Johnston County,239267.2526236961,47853.45052473922
6316,6324,28712,NC,Brevard,"Brevard, NC",Transylvania County,415738.2431172311,83147.64862344624
6323,6330,27312,NC,Pittsboro,"Durham-Chapel Hill, NC",Chatham County,506167.15997701086,101233.43199540218
6375,6383,28906,NC,Murphy,,Cherokee County,270790.3885078277,54158.07770156555
6382,6389,27344,NC,Siler City,"Durham-Chapel Hill, NC",Chatham County,234984.8240150652,46996.96480301305
6384,6392,27896,NC,Wilson,"Wilson, NC",Wilson County,260137.10069577428,52027.420139154856
6413,6421,27408,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,308415.7594623343,61683.151892466856
6425,6433,28472,NC,Whiteville,,Columbus County,140549.43241813418,28109.886483626837
6471,6480,28075,NC,Harrisburg,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,479890.5021295264,95978.10042590529
6570,6578,28716,NC,Canton,"Asheville, NC",Haywood County,248803.91131653305,49760.78226330661
6597,6607,28574,NC,Richlands,"Jacksonville, NC",Onslow County,236140.04013706476,47228.00802741296
6626,6636,28732,NC,Fletcher,"Asheville, NC",Henderson County,429537.73591289343,85907.5471825787
6640,6650,28365,NC,Mount Olive,,Duplin County,87305.307918599,17461.061583719802
6645,6655,28779,NC,Sylva,"Cullowhee, NC",Jackson County,296957.0785622079,59391.41571244159
6666,6676,27856,NC,Nashville,"Rocky Mount, NC",Nash County,222328.67951513495,44465.735903026994
6669,6679,28034,NC,Dallas,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,268972.4948725755,53794.4989745151
6693,6703,28327,NC,,"Pinehurst-Southern Pines, NC",Moore County,380037.197259567,76007.4394519134
6787,6797,28501,NC,Kinston,"Kinston, NC",Lenoir County,74577.07446973516,14915.414893947032
6838,6847,27282,NC,,"Greensboro-High Point, NC",Guilford County,300086.53602870315,60017.30720574063
6897,6907,28301,NC,Fayetteville,"Fayetteville, NC",Cumberland County,101797.43911114814,20359.48782222963
6911,6921,28036,NC,Davidson,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,613989.1786295263,122797.83572590526
6956,6966,28551,NC,La Grange,"Kinston, NC",Lenoir County,143538.35603555592,28707.671207111183
7008,7017,27596,NC,Youngsville,"Raleigh-Cary, NC",Franklin County,392376.3648620914,78475.27297241827
7077,7087,27504,NC,Benson,"Raleigh-Cary, NC",Johnston County,283559.870965747,56711.9741931494
7089,7099,27358,NC,Summerfield,"Greensboro-High Point, NC",Guilford County,425982.60493301455,85196.52098660292
7090,7100,27574,NC,Roxboro,"Durham-Chapel Hill, NC",Person County,174828.27046359246,34965.65409271849
7103,7113,28539,NC,Hubert,"Jacksonville, NC",Onslow County,241841.5508657157,48368.31017314314
7113,7122,27244,NC,Elon,"Burlington, NC",Alamance County,280508.7549242115,56101.7509848423
7176,7186,27317,NC,Randleman,"Greensboro-High Point, NC",Randolph County,208588.91515359472,41717.78303071894
